epoch,batch,totBatch,batchTime_val,batchTime_avg,loadTime_val,loadTime_avg,loss_val,loss_avg,acc_val,acc_avg,turn
0,0,46875,1.449,1.449,1.356,1.356,1.6151,1.6151,0.156,0.156,0
0,20,46875,0.072,0.262,0.0,0.189,1.6008,1.6081,0.203,0.214,20
0,40,46875,0.072,0.168,0.0,0.097,1.5788,1.6006,0.203,0.231,40
0,60,46875,0.07,0.136,0.0,0.065,1.4199,1.5807,0.422,0.255,60
0,80,46875,0.071,0.119,0.0,0.049,1.4189,1.5367,0.344,0.287,80
0,100,46875,0.069,0.11,0.0,0.039,1.3555,1.4993,0.312,0.31,100
0,120,46875,0.08,0.103,0.0,0.033,1.2869,1.4731,0.484,0.326,120
0,140,46875,0.069,0.098,0.0,0.028,1.205,1.4461,0.469,0.341,140
0,160,46875,0.07,0.095,0.0,0.025,1.2001,1.4218,0.484,0.353,160
0,180,46875,0.07,0.092,0.0,0.022,1.1837,1.4003,0.5,0.364,180
0,200,46875,0.074,0.09,0.0,0.02,1.2822,1.3811,0.406,0.375,200
0,220,46875,0.067,0.1,0.0,0.029,1.3321,1.3641,0.328,0.384,220
0,240,46875,0.073,0.097,0.0,0.027,1.1718,1.3491,0.484,0.394,240
0,260,46875,0.069,0.095,0.0,0.025,1.297,1.3359,0.484,0.399,260
0,280,46875,0.071,0.093,0.0,0.023,1.1812,1.3266,0.5,0.404,280
0,300,46875,0.073,0.092,0.0,0.022,1.1737,1.3167,0.453,0.41,300
0,320,46875,0.066,0.091,0.0,0.02,1.2284,1.3112,0.5,0.413,320
0,340,46875,0.071,0.089,0.0,0.019,0.9938,1.3024,0.578,0.416,340
0,360,46875,0.067,0.088,0.0,0.018,1.2868,1.2943,0.438,0.421,360
0,380,46875,0.071,0.087,0.0,0.017,1.2059,1.2883,0.578,0.423,380
0,400,46875,0.073,0.087,0.0,0.016,1.208,1.2832,0.531,0.426,400
0,420,46875,0.074,0.092,0.0,0.021,1.1523,1.2776,0.5,0.429,420
0,440,46875,0.07,0.091,0.0,0.02,1.3348,1.2725,0.484,0.433,440
0,460,46875,0.071,0.09,0.0,0.019,1.2451,1.2654,0.422,0.437,460
0,480,46875,0.08,0.089,0.0,0.019,1.2361,1.2621,0.453,0.439,480
0,500,46875,0.072,0.088,0.0,0.018,1.1996,1.2581,0.391,0.441,500
0,520,46875,0.072,0.088,0.0,0.017,1.2159,1.2539,0.5,0.443,520
0,540,46875,0.064,0.087,0.0,0.017,1.26,1.2496,0.375,0.445,540
0,560,46875,0.068,0.087,0.0,0.016,1.0609,1.245,0.516,0.448,560
0,580,46875,0.071,0.086,0.0,0.015,1.0653,1.2418,0.531,0.45,580
0,600,46875,0.068,0.086,0.0,0.015,0.9772,1.2382,0.562,0.452,600
0,620,46875,0.073,0.089,0.0,0.018,1.1981,1.2347,0.438,0.454,620
0,640,46875,0.07,0.089,0.0,0.018,1.0958,1.2309,0.531,0.455,640
0,660,46875,0.068,0.088,0.0,0.017,1.1918,1.2282,0.453,0.457,660
0,680,46875,0.067,0.088,0.0,0.017,1.0371,1.2258,0.516,0.458,680
0,700,46875,0.072,0.087,0.0,0.016,1.3968,1.2228,0.297,0.46,700
0,720,46875,0.068,0.087,0.0,0.016,1.0717,1.2198,0.594,0.461,720
0,740,46875,0.073,0.086,0.0,0.015,1.1559,1.2184,0.5,0.462,740
0,760,46875,0.067,0.086,0.0,0.015,1.1514,1.2171,0.609,0.463,760
0,780,46875,0.071,0.085,0.0,0.015,1.1559,1.2142,0.453,0.464,780
0,800,46875,0.076,0.085,0.0,0.014,1.0904,1.2117,0.531,0.465,800
0,820,46875,0.067,0.088,0.0,0.017,1.1765,1.2101,0.5,0.466,820
0,840,46875,0.074,0.087,0.0,0.017,0.9845,1.2086,0.547,0.467,840
0,860,46875,0.067,0.087,0.0,0.016,0.9838,1.2064,0.578,0.468,860
0,880,46875,0.077,0.086,0.0,0.016,1.0456,1.204,0.5,0.469,880
0,900,46875,0.071,0.086,0.0,0.015,1.2828,1.2027,0.422,0.47,900
0,920,46875,0.067,0.086,0.0,0.015,1.1803,1.2006,0.453,0.471,920
0,940,46875,0.063,0.085,0.0,0.015,1.1589,1.1992,0.469,0.471,940
0,960,46875,0.065,0.085,0.0,0.014,1.1772,1.1981,0.438,0.472,960
0,980,46875,0.078,0.085,0.0,0.014,1.0982,1.1963,0.656,0.473,980
0,1000,46875,0.068,0.085,0.0,0.014,1.1156,1.1948,0.469,0.474,1000
0,1020,46875,0.069,0.087,0.0,0.016,1.1936,1.1932,0.484,0.475,1020
0,1040,46875,0.069,0.086,0.0,0.016,0.9703,1.1918,0.625,0.476,1040
0,1060,46875,0.065,0.086,0.0,0.015,1.0955,1.1902,0.562,0.477,1060
0,1080,46875,0.07,0.086,0.0,0.015,1.1668,1.1888,0.5,0.477,1080
0,1100,46875,0.071,0.085,0.0,0.015,0.9488,1.1874,0.531,0.478,1100
0,1120,46875,0.072,0.085,0.0,0.015,1.2144,1.1862,0.453,0.479,1120
0,1140,46875,0.065,0.085,0.0,0.014,1.2398,1.1851,0.453,0.479,1140
0,1160,46875,0.068,0.085,0.0,0.014,1.0942,1.1833,0.516,0.479,1160
0,1180,46875,0.072,0.084,0.0,0.014,1.093,1.1832,0.453,0.48,1180
0,1200,46875,0.073,0.084,0.0,0.014,1.0782,1.182,0.562,0.48,1200
0,1220,46875,0.067,0.086,0.0,0.016,1.183,1.181,0.562,0.481,1220
0,1240,46875,0.066,0.086,0.0,0.015,0.8851,1.1791,0.688,0.481,1240
0,1260,46875,0.077,0.086,0.0,0.015,0.9786,1.1773,0.547,0.482,1260
0,1280,46875,0.073,0.085,0.0,0.015,1.1512,1.176,0.484,0.483,1280
0,1300,46875,0.069,0.085,0.0,0.015,1.1302,1.1746,0.5,0.484,1300
0,1320,46875,0.063,0.085,0.0,0.014,1.1773,1.1738,0.484,0.484,1320
0,1340,46875,0.07,0.085,0.0,0.014,1.1569,1.1731,0.484,0.484,1340
0,1360,46875,0.066,0.084,0.0,0.014,1.0725,1.1728,0.562,0.484,1360
0,1380,46875,0.069,0.084,0.0,0.014,1.1814,1.172,0.422,0.484,1380
0,1400,46875,0.066,0.084,0.0,0.014,1.0166,1.1706,0.5,0.485,1400
0,1420,46875,0.067,0.086,0.0,0.015,1.2474,1.1701,0.516,0.485,1420
0,1440,46875,0.067,0.085,0.0,0.015,1.2868,1.1692,0.484,0.486,1440
0,1460,46875,0.066,0.085,0.0,0.015,1.024,1.1685,0.594,0.486,1460
0,1480,46875,0.069,0.085,0.0,0.015,1.0456,1.1676,0.578,0.487,1480
0,1500,46875,0.07,0.085,0.0,0.014,1.0878,1.167,0.531,0.487,1500
0,1520,46875,0.067,0.084,0.0,0.014,1.1059,1.1663,0.484,0.487,1520
0,1540,46875,0.065,0.084,0.0,0.014,1.1505,1.1651,0.484,0.488,1540
0,1560,46875,0.066,0.084,0.0,0.014,1.0641,1.164,0.5,0.488,1560
0,1580,46875,0.084,0.084,0.0,0.014,0.9701,1.1629,0.594,0.489,1580
0,1600,46875,0.066,0.084,0.0,0.013,1.0414,1.1623,0.578,0.489,1600
0,1620,46875,0.069,0.085,0.0,0.015,1.0744,1.1618,0.562,0.49,1620
0,1640,46875,0.074,0.085,0.0,0.015,1.0722,1.1609,0.531,0.49,1640
0,1660,46875,0.072,0.085,0.0,0.015,1.1608,1.1603,0.516,0.49,1660
0,1680,46875,0.072,0.085,0.0,0.014,1.0341,1.1597,0.562,0.491,1680
0,1700,46875,0.08,0.085,0.0,0.014,1.018,1.1586,0.578,0.491,1700
0,1720,46875,0.069,0.084,0.0,0.014,1.1021,1.1582,0.5,0.491,1720
0,1740,46875,0.076,0.084,0.0,0.014,1.2141,1.1575,0.469,0.492,1740
0,1760,46875,0.072,0.084,0.0,0.014,1.0777,1.1566,0.484,0.492,1760
0,1780,46875,0.071,0.084,0.0,0.014,1.3833,1.1561,0.406,0.492,1780
0,1800,46875,0.065,0.084,0.0,0.013,0.9544,1.155,0.562,0.493,1800
0,1820,46875,0.071,0.085,0.0,0.015,1.0402,1.1541,0.5,0.493,1820
0,1840,46875,0.068,0.085,0.0,0.015,1.2376,1.1535,0.406,0.494,1840
0,1860,46875,0.07,0.085,0.0,0.014,1.0655,1.1527,0.562,0.494,1860
0,1880,46875,0.072,0.085,0.0,0.014,1.0836,1.1518,0.547,0.495,1880
0,1900,46875,0.062,0.084,0.0,0.014,1.0539,1.1512,0.562,0.495,1900
0,1920,46875,0.086,0.084,0.0,0.014,1.1726,1.1504,0.5,0.495,1920
0,1940,46875,0.073,0.084,0.0,0.014,1.2352,1.1496,0.406,0.496,1940
0,1960,46875,0.067,0.084,0.0,0.014,1.2624,1.1491,0.453,0.496,1960
0,1980,46875,0.07,0.084,0.0,0.014,1.1203,1.1484,0.484,0.496,1980
0,2000,46875,0.068,0.084,0.0,0.013,1.0429,1.1479,0.562,0.496,2000
0,2020,46875,0.071,0.084,0.0,0.014,0.9785,1.1475,0.656,0.496,2020
0,2040,46875,0.061,0.084,0.0,0.014,1.0029,1.1468,0.594,0.497,2040
0,2060,46875,0.069,0.084,0.0,0.014,1.1664,1.146,0.5,0.497,2060
0,2080,46875,0.071,0.084,0.0,0.013,1.0693,1.1455,0.516,0.497,2080
0,2100,46875,0.063,0.083,0.0,0.013,1.1038,1.1446,0.422,0.498,2100
0,2120,46875,0.071,0.083,0.0,0.013,1.0163,1.1437,0.562,0.498,2120
0,2140,46875,0.07,0.083,0.0,0.013,1.0109,1.1431,0.516,0.499,2140
0,2160,46875,0.084,0.083,0.0,0.013,1.0606,1.1424,0.531,0.499,2160
0,2180,46875,0.069,0.083,0.0,0.013,1.0235,1.1419,0.516,0.499,2180
0,2200,46875,0.064,0.083,0.0,0.013,0.9815,1.1413,0.656,0.499,2200
0,2220,46875,0.07,0.084,0.0,0.014,1.0589,1.1409,0.484,0.5,2220
0,2240,46875,0.073,0.084,0.0,0.014,1.1261,1.1405,0.484,0.5,2240
0,2260,46875,0.07,0.083,0.0,0.013,0.984,1.1399,0.516,0.5,2260
0,2280,46875,0.072,0.083,0.0,0.013,1.0998,1.1395,0.531,0.5,2280
0,2300,46875,0.069,0.083,0.0,0.013,1.1108,1.1391,0.453,0.5,2300
0,2320,46875,0.064,0.083,0.0,0.013,1.1625,1.1387,0.422,0.501,2320
0,2340,46875,0.07,0.083,0.0,0.013,1.0838,1.1381,0.562,0.501,2340
0,2360,46875,0.071,0.083,0.0,0.013,1.0938,1.1375,0.5,0.501,2360
0,2380,46875,0.071,0.083,0.0,0.013,1.0801,1.137,0.484,0.501,2380
0,2400,46875,0.069,0.083,0.0,0.013,1.1162,1.1371,0.516,0.501,2400
0,2420,46875,0.074,0.084,0.0,0.014,0.9566,1.1364,0.578,0.502,2420
0,2440,46875,0.071,0.083,0.0,0.013,1.175,1.1357,0.5,0.502,2440
0,2460,46875,0.072,0.083,0.0,0.013,0.9275,1.1354,0.609,0.502,2460
0,2480,46875,0.074,0.083,0.0,0.013,1.1204,1.1347,0.453,0.502,2480
0,2500,46875,0.071,0.083,0.0,0.013,1.0479,1.1342,0.469,0.503,2500
0,2520,46875,0.071,0.083,0.0,0.013,1.0724,1.1335,0.562,0.503,2520
0,2540,46875,0.072,0.083,0.0,0.013,1.0599,1.1327,0.531,0.503,2540
0,2560,46875,0.072,0.083,0.0,0.013,1.0434,1.1323,0.594,0.504,2560
0,2580,46875,0.063,0.083,0.0,0.013,1.0155,1.132,0.484,0.504,2580
0,2600,46875,0.063,0.083,0.0,0.013,1.0883,1.1316,0.469,0.504,2600
0,2620,46875,0.072,0.084,0.0,0.014,1.1564,1.1314,0.406,0.504,2620
0,2640,46875,0.071,0.083,0.0,0.013,1.0735,1.1309,0.547,0.504,2640
0,2660,46875,0.068,0.083,0.0,0.013,1.0931,1.1305,0.453,0.504,2660
0,2680,46875,0.076,0.083,0.0,0.013,1.1619,1.1301,0.5,0.504,2680
0,2700,46875,0.071,0.083,0.0,0.013,1.1688,1.1296,0.562,0.505,2700
0,2720,46875,0.07,0.083,0.0,0.013,1.1154,1.129,0.516,0.505,2720
0,2740,46875,0.074,0.083,0.0,0.013,1.0743,1.1287,0.484,0.505,2740
0,2760,46875,0.073,0.083,0.0,0.013,1.1192,1.1284,0.422,0.505,2760
0,2780,46875,0.075,0.083,0.0,0.013,1.1447,1.1279,0.531,0.505,2780
0,2800,46875,0.069,0.083,0.0,0.013,1.0569,1.1276,0.484,0.505,2800
0,2820,46875,0.073,0.084,0.0,0.013,1.1315,1.1273,0.516,0.505,2820
0,2840,46875,0.07,0.083,0.0,0.013,0.953,1.1269,0.609,0.506,2840
0,2860,46875,0.071,0.083,0.0,0.013,1.0122,1.1264,0.547,0.506,2860
0,2880,46875,0.072,0.083,0.0,0.013,0.9387,1.1259,0.641,0.506,2880
0,2900,46875,0.07,0.083,0.0,0.013,1.2313,1.1258,0.484,0.506,2900
0,2920,46875,0.07,0.083,0.0,0.013,1.0169,1.1253,0.531,0.506,2920
0,2940,46875,0.061,0.083,0.0,0.013,1.0219,1.1249,0.609,0.506,2940
0,2960,46875,0.072,0.083,0.0,0.013,1.2744,1.1245,0.438,0.506,2960
0,2980,46875,0.073,0.083,0.0,0.013,1.0811,1.1239,0.516,0.507,2980
0,3000,46875,0.069,0.083,0.0,0.013,1.0008,1.1237,0.562,0.507,3000
0,3020,46875,0.069,0.084,0.0,0.013,1.2473,1.1235,0.547,0.507,3020
0,3040,46875,0.07,0.083,0.0,0.013,0.9184,1.1229,0.641,0.507,3040
0,3060,46875,0.067,0.083,0.0,0.013,0.9799,1.1228,0.578,0.508,3060
0,3080,46875,0.076,0.083,0.0,0.013,1.1351,1.1225,0.5,0.508,3080
0,3100,46875,0.065,0.083,0.0,0.013,0.9715,1.122,0.547,0.508,3100
0,3120,46875,0.066,0.083,0.0,0.013,1.1029,1.1216,0.484,0.508,3120
0,3140,46875,0.073,0.083,0.0,0.013,1.0151,1.1212,0.625,0.508,3140
0,3160,46875,0.069,0.083,0.0,0.013,1.0443,1.121,0.5,0.508,3160
0,3180,46875,0.069,0.083,0.0,0.013,1.1954,1.1207,0.469,0.509,3180
0,3200,46875,0.073,0.083,0.0,0.013,0.8633,1.1205,0.641,0.509,3200
0,3220,46875,0.064,0.083,0.0,0.013,1.0127,1.1202,0.578,0.509,3220
0,3240,46875,0.069,0.083,0.0,0.013,1.142,1.1199,0.484,0.509,3240
0,3260,46875,0.072,0.083,0.0,0.013,1.0572,1.1195,0.562,0.509,3260
0,3280,46875,0.075,0.083,0.0,0.013,1.2248,1.119,0.438,0.51,3280
0,3300,46875,0.071,0.083,0.0,0.013,0.9904,1.1188,0.594,0.51,3300
0,3320,46875,0.072,0.083,0.0,0.013,1.0742,1.1183,0.453,0.51,3320
0,3340,46875,0.072,0.083,0.0,0.013,1.0279,1.1181,0.594,0.51,3340
0,3360,46875,0.071,0.083,0.0,0.013,1.2015,1.118,0.375,0.51,3360
0,3380,46875,0.07,0.083,0.0,0.013,0.939,1.1177,0.594,0.51,3380
0,3400,46875,0.073,0.083,0.0,0.013,0.9468,1.1171,0.594,0.51,3400
0,3420,46875,0.074,0.083,0.0,0.013,1.0503,1.1167,0.547,0.511,3420
0,3440,46875,0.071,0.083,0.0,0.013,1.1147,1.1166,0.562,0.511,3440
0,3460,46875,0.068,0.083,0.0,0.013,1.1365,1.1163,0.547,0.511,3460
0,3480,46875,0.068,0.083,0.0,0.013,1.1213,1.1161,0.578,0.511,3480
0,3500,46875,0.066,0.083,0.0,0.013,1.0507,1.1157,0.547,0.511,3500
0,3520,46875,0.073,0.083,0.0,0.013,1.1901,1.1153,0.453,0.511,3520
0,3540,46875,0.068,0.083,0.0,0.012,0.9298,1.115,0.594,0.511,3540
0,3560,46875,0.068,0.082,0.0,0.012,1.0136,1.1146,0.609,0.512,3560
0,3580,46875,0.072,0.082,0.0,0.012,1.0286,1.1143,0.547,0.512,3580
0,3600,46875,0.064,0.082,0.0,0.012,1.0629,1.1142,0.531,0.512,3600
0,3620,46875,0.069,0.083,0.0,0.013,1.1807,1.114,0.406,0.512,3620
0,3640,46875,0.077,0.083,0.0,0.013,1.0302,1.1136,0.609,0.512,3640
0,3660,46875,0.065,0.083,0.0,0.013,1.0287,1.1135,0.562,0.512,3660
0,3680,46875,0.07,0.083,0.0,0.013,1.2167,1.1131,0.453,0.512,3680
0,3700,46875,0.074,0.083,0.0,0.013,1.0426,1.1129,0.531,0.512,3700
0,3720,46875,0.064,0.083,0.0,0.013,1.1593,1.1126,0.516,0.512,3720
0,3740,46875,0.068,0.083,0.0,0.012,1.1412,1.1124,0.453,0.512,3740
0,3760,46875,0.067,0.083,0.0,0.012,1.0144,1.1119,0.531,0.512,3760
0,3780,46875,0.066,0.082,0.0,0.012,1.0967,1.1117,0.531,0.513,3780
0,3800,46875,0.068,0.082,0.0,0.012,1.0301,1.1113,0.594,0.513,3800
0,3820,46875,0.073,0.083,0.0,0.013,1.0138,1.1109,0.562,0.513,3820
0,3840,46875,0.075,0.083,0.0,0.013,1.0016,1.1107,0.625,0.513,3840
0,3860,46875,0.073,0.083,0.0,0.013,0.8437,1.1103,0.672,0.513,3860
0,3880,46875,0.067,0.083,0.0,0.013,1.2611,1.1101,0.453,0.513,3880
0,3900,46875,0.071,0.083,0.0,0.013,0.9486,1.1098,0.609,0.513,3900
0,3920,46875,0.066,0.083,0.0,0.013,0.9842,1.1094,0.594,0.514,3920
0,3940,46875,0.069,0.083,0.0,0.013,1.0522,1.1092,0.531,0.514,3940
0,3960,46875,0.064,0.082,0.0,0.012,1.0977,1.109,0.531,0.514,3960
0,3980,46875,0.065,0.082,0.0,0.012,1.0687,1.1089,0.484,0.514,3980
0,4000,46875,0.068,0.082,0.0,0.012,1.0612,1.1087,0.5,0.514,4000
0,4020,46875,0.062,0.083,0.0,0.013,1.2512,1.1084,0.375,0.514,4020
0,4040,46875,0.074,0.083,0.0,0.013,1.0992,1.1082,0.5,0.514,4040
0,4060,46875,0.071,0.083,0.0,0.013,0.9005,1.108,0.5,0.514,4060
0,4080,46875,0.069,0.083,0.0,0.013,1.065,1.1077,0.547,0.514,4080
0,4100,46875,0.064,0.083,0.0,0.013,1.1773,1.1073,0.531,0.515,4100
0,4120,46875,0.072,0.083,0.0,0.013,1.0035,1.107,0.641,0.515,4120
0,4140,46875,0.071,0.083,0.0,0.013,0.8562,1.1069,0.625,0.515,4140
0,4160,46875,0.069,0.082,0.0,0.012,1.1841,1.1067,0.469,0.515,4160
0,4180,46875,0.072,0.082,0.0,0.012,1.0044,1.1065,0.609,0.515,4180
0,4200,46875,0.069,0.082,0.0,0.012,1.1146,1.1063,0.484,0.515,4200
0,4220,46875,0.062,0.083,0.0,0.013,1.1412,1.1061,0.5,0.515,4220
0,4240,46875,0.065,0.083,0.0,0.013,1.1386,1.1061,0.5,0.515,4240
0,4260,46875,0.063,0.083,0.0,0.013,0.9655,1.1058,0.578,0.515,4260
0,4280,46875,0.068,0.083,0.0,0.013,0.96,1.1057,0.609,0.516,4280
0,4300,46875,0.075,0.083,0.0,0.013,1.0231,1.1054,0.609,0.516,4300
0,4320,46875,0.067,0.083,0.0,0.013,1.1043,1.1053,0.5,0.516,4320
0,4340,46875,0.07,0.083,0.0,0.013,1.2368,1.105,0.516,0.516,4340
0,4360,46875,0.072,0.082,0.0,0.012,1.1032,1.1048,0.5,0.516,4360
0,4380,46875,0.069,0.082,0.0,0.012,0.9707,1.1046,0.656,0.516,4380
0,4400,46875,0.067,0.082,0.0,0.012,0.956,1.1043,0.547,0.516,4400
0,4420,46875,0.069,0.083,0.0,0.013,1.2895,1.1042,0.422,0.516,4420
0,4440,46875,0.068,0.083,0.0,0.013,1.0594,1.1039,0.547,0.517,4440
